,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF,RK,Year
41,"Adrian Uter, F-C",HOF,26,27.4,55,89,2.12,3.09,0.62,42,2006
42,"Mohamed Kone, F",VALP,27,29.6,57,90,2.11,2.86,0.63,43,2006
43,"Nick Dewitz, F",ORST,28,29.0,59,81,2.11,2.91,0.73,44,2006
44,"William Byrd, F",ARPB,29,28.0,61,82,2.10,3.00,0.74,45,2006
45,"Alan Wiggins Jr., F",SF,28,33.6,58,88,2.07,2.47,0.66,46,2006
46,"Alioune Beye, C",MTST,30,25.3,62,91,2.07,3.26,0.68,47,2006
47,"Almaad Jackson, F",ALCN,19,28.3,39,57,2.05,2.91,0.68,48,2006
48,"Brian Cusworth, C",HARV,20,31.1,41,61,2.05,2.64,0.67,49,2006
49,"Brian Thornton, F",XAV,21,25.2,43,55,2.05,3.25,0.78,50,2006
50,"Joakim Noah, F-C",FLA,33,23.6,66,73,2.00,3.39,0.90,51,2006
51,"Joey Dorsey, F",MEM,33,20.6,65,120,1.97,3.82,0.54,52,2006
52,"Wes Wilkinson, F",NEB,31,28.9,61,76,1.97,2.72,0.80,53,2006
53,"LaMarcus Aldridge, F",TEX,33,33.1,64,83,1.94,2.34,0.77,54,2006
54,"Herbert Hill, F-C",PROV,27,18.4,52,59,1.93,4.18,0.88,55,2006
55,"Jeremy Clayton, F",APP,27,26.9,52,81,1.93,2.86,0.64,56,2006
56,"Trevor Cook, F",TXST,27,25.9,52,89,1.93,2.98,0.58,57,2006
57,"Sean Williams, C",BC,24,16.6,46,72,1.92,4.61,0.64,58,2006
58,"J.R. Inman, F",RUTG,22,26.7,42,59,1.91,2.86,0.71,59,2006
59,"Ian Vouyoukas, F-C",SLU,29,32.2,55,76,1.90,2.36,0.72,60,2006
60,"Jermareo Davidson, F",ALA,29,33.8,55,63,1.90,2.24,0.87,61,2006
61,"Louis Graham, F",GASO,29,23.9,55,90,1.90,3.17,0.61,62,2006
62,"Al Horford, F-C",FLA,33,25.7,62,83,1.88,2.92,0.75,63,2006
63,"Anthony King, C",MIA,31,28.0,58,64,1.87,2.68,0.91,64,2006
64,"Qavotstaraj Waddell, C",UMES,29,22.7,54,86,1.86,3.28,0.63,65,2006
65,"Bruce Brown, C",HAMP,31,25.3,57,88,1.84,2.91,0.65,66,2006
66,"Boomer Herndon, C",BEL,30,22.8,54,80,1.80,3.16,0.68,67,2006
67,"Jarvis Gunter, F",ARPB,28,27.3,50,74,1.79,2.62,0.68,68,2006
68,"Todd Sowell, F",SPU,32,31.0,57,93,1.78,2.30,0.61,69,2006
69,"Calvin Arnold, F",DART,27,20.8,48,88,1.78,3.42,0.55,70,2006
70,"Jason Thompson, F",RID,27,31.8,48,86,1.78,2.24,0.56,71,2006
71,"Pops Mensah-Bonsu, F",GW,21,25.9,37,59,1.76,2.73,0.63,72,2006
72,"Paul Butorac, F-C",EWU,29,24.2,51,73,1.76,2.90,0.70,73,2006
73,"Brad Buckman, F",TEX,29,26.9,50,65,1.72,2.57,0.77,74,2006
74,"Kenny Adeleke, F",HART,28,35.0,48,84,1.71,1.96,0.57,75,2006
75,"Chuck Davis, F",ALA,14,28.6,24,30,1.71,2.39,0.80,76,2006
76,"Matt Haryasz, F",STAN,26,32.9,44,60,1.69,2.06,0.73,77,2006
77,"Ricky Woods, F",SELA,28,33.5,47,84,1.68,2.00,0.56,78,2006
78,"Clarence Matthews, F",TNST,28,28.8,47,105,1.68,2.33,0.45,79,2006
79,"Darian Townes, F-C",ARK,31,22.7,52,47,1.68,2.95,1.11,80,2006
80,"Randall Hanke, F-C",PROV,27,21.6,45,64,1.67,3.09,0.70,81,2006
81,"Rudy Gay, F",CONN,29,30.3,48,64,1.66,2.19,0.75,82,2006
82,"Matt Stehle, F",HARV,27,34.3,44,91,1.63,1.90,0.48,83,2006
83,"Dorien Brown, F",JVST,29,24.6,47,91,1.62,2.64,0.52,84,2006
84,"Richard Hendrix, F",ALA,29,26.7,47,72,1.62,2.43,0.65,85,2006
85,"Justin Doellman, F",XAV,31,30.7,50,94,1.61,2.10,0.53,86,2006
86,"Dramane Diarra, F",KSU,28,25.5,45,91,1.61,2.52,0.49,87,2006
87,"Brandon Wallace, F",SC,33,29.7,53,67,1.61,2.16,0.79,88,2006
88,"DeVon Hardin, C",CAL,30,24.0,48,90,1.60,2.67,0.53,89,2006
89,"James Hughes, C",NIU,25,19.2,40,43,1.60,3.34,0.93,90,2006
90,"Quincy Davis, F-C",TULN,29,25.4,46,80,1.59,2.50,0.58,91,2006
91,"Bradley Strickland, F-C",EVAN,29,27.0,46,83,1.59,2.35,0.55,92,2006
92,"Deven Dickerson, C",GAST,29,21.5,46,80,1.59,2.95,0.58,93,2006
93,"Kirk Walters, C",ARIZ,31,19.3,49,75,1.58,3.27,0.65,94,2006
94,"Charles Bass, F-C",BALL,26,19.3,41,91,1.58,3.27,0.45,95,2006
95,"Anthony Tolliver, C",CREI,28,28.3,44,75,1.57,2.22,0.59,96,2006
96,"Anthony Bruin, F",IONA,30,24.3,47,84,1.57,2.58,0.56,97,2006
97,"Roy Hibbert, C",GTWN,30,23.6,47,57,1.57,2.65,0.82,98,2006
98,"Abdoulaye Ndiaye, C",USC,30,22.2,47,100,1.57,2.82,0.47,99,2006
99,"Wilson Chandler, F",DEP,25,30.2,39,77,1.56,2.06,0.51,100,2006
100,"Sefton Barrett, G-F",CMU,27,31.7,42,94,1.56,1.96,0.45,101,2006
101,"Chris Daniels, C",AMCC,27,24.0,42,76,1.56,2.59,0.55,102,2006
102,"Sammy Sharp, F",TROY,29,29.0,45,74,1.55,2.14,0.61,103,2006
103,"Diamon Simpson, F",SMC,29,21.6,45,65,1.55,2.88,0.69,104,2006
104,"Brandon Polk, F",BUT,31,31.6,48,75,1.55,1.96,0.64,105,2006
105,"James Mays, F",CLEM,11,24.0,17,25,1.55,2.58,0.68,106,2006
106,"Ra'Sean Dickey, C",GT,28,27.6,43,77,1.54,2.23,0.56,107,2006
107,"Korvotney Barber, F",AUB,28,21.3,43,80,1.54,2.88,0.54,108,2006
108,"Will Sheridan, F",NOVA,29,27.3,44,84,1.52,2.22,0.52,109,2006
109,"C.J. Giles, C",KU,32,17.0,48,80,1.50,3.53,0.60,110,2006
110,"Tim Clifford, C",HC,32,22.1,48,97,1.50,2.72,0.49,111,2006
111,"Majak Kou, G",L-IL,30,28.0,45,87,1.50,2.15,0.52,112,2006
112,"Taj Gray, F",OKLA,28,30.4,42,78,1.50,1.98,0.54,113,2006
113,"Greg Stiemsma, C",WIS,16,11.7,24,37,1.50,5.13,0.65,114,2006
114,"James Gist, F",MD,31,22.2,46,75,1.48,2.68,0.61,115,2006
115,"Rashaad Singleton, C",UGA,29,11.7,43,40,1.48,5.09,1.08,116,2006
116,"Randal Falker, F",SIU,32,28.3,47,106,1.47,2.07,0.44,117,2006
117,"Younes Idrissi, F",UGA,30,20.1,44,85,1.47,2.92,0.52,118,2006
118,"Courtney Sims, C",MICH,28,23.9,41,68,1.46,2.45,0.60,119,2006
119,"David Padgett, C",LOU,24,26.8,35,69,1.46,2.17,0.51,120,2006
0,"Mickell Gladness, F-C",AAMU,30,29.2,188,78,6.27,8.57,2.41,1,2007
1,"Stephane Lasme, F",UMASS,31,30.1,156,102,5.03,6.68,1.53,2,2007
2,"Hasheem Thabeet, C",CONN,31,24.6,119,82,3.84,6.25,1.45,3,2007
3,"McHugh Mattis, F",USF,30,32.9,109,85,3.63,4.42,1.28,4,2007
4,"Dominic McGuire, G-F",FRES,31,32.7,110,90,3.55,4.33,1.22,5,2007
5,"Greg Oden, C",OSU,26,29.2,92,66,3.54,4.84,1.39,6,2007
6,"Scott VanderMeer, C",UIC,32,23.7,111,95,3.47,5.87,1.17,7,2007
7,"Darryl Watkins, C",SYR,30,29.0,102,106,3.40,4.70,0.96,8,2007
8,"Durrell Nevels, F",UCA,30,29.2,99,89,3.30,4.52,1.11,9,2007
9,"John Bunch, C",MONM,29,20.6,95,60,3.28,6.38,1.58,10,2007
10,"Chaz Crawford, F",DREX,31,29.7,101,98,3.26,4.38,1.03,11,2007
11,"Joel Anthony, C",UNLV,34,18.2,105,80,3.09,6.77,1.31,12,2007
12,"Herbert Hill, F-C",PROV,30,31.8,89,86,2.97,3.74,1.03,13,2007
13,"Steven Hill, F-C",ARK,34,23.6,99,97,2.91,4.94,1.02,14,2007
14,"Brandon Wallace, F",SC,30,36.5,86,61,2.87,3.14,1.41,15,2007
15,"Ekene Ibekwe, F",MD,31,25.2,85,100,2.74,4.35,0.85,16,2007
16,"Kieron Achara, F-C",DUQ,23,26.7,59,66,2.57,3.85,0.89,17,2007
17,"William Byrd, F",ARPB,31,31.8,78,78,2.52,3.16,1.00,18,2007
18,"Bamba Fall, C",SMU,25,21.6,62,65,2.48,4.58,0.95,19,2007
19,"Diamon Simpson, F",SMC,32,28.4,79,79,2.47,3.48,1.00,20,2007
20,"Roy Hibbert, C",GTWN,32,26.2,78,85,2.44,3.73,0.92,21,2007
21,"Josh McRoberts, F-C",DUKE,32,35.1,77,83,2.41,2.74,0.93,22,2007
22,"Robin Lopez, C",STAN,30,24.4,72,67,2.40,3.94,1.07,23,2007
23,"Bryant Dunston, F",FOR,30,29.0,71,97,2.37,3.27,0.73,24,2007
24,"Shawn King, C",ORU,33,19.4,78,84,2.36,4.87,0.93,25,2007
25,"Joey Dorsey, F",MEM,33,25.0,77,91,2.33,3.74,0.85,26,2007
26,"Jermareo Davidson, F",ALA,29,32.2,66,51,2.28,2.83,1.29,27,2007
27,"Jemino Sobers, F",CCSU,33,30.9,75,98,2.27,2.94,0.77,28,2007
28,"D.J. White, F",IND,30,31.5,67,81,2.23,2.83,0.83,29,2007
29,"Trevor Booker, F",CLEM,31,25.7,69,79,2.23,3.47,0.87,30,2007
30,"Kyle Hines, F",UNCG,29,32.0,64,83,2.21,2.76,0.77,31,2007
31,"Jarrad Henry, C",PEPP,31,16.6,68,98,2.19,5.29,0.69,32,2007
32,"Scott Morrison, C",PRST,32,24.6,70,64,2.19,3.56,1.09,33,2007
33,"Jason Thompson, F",RID,31,34.1,67,102,2.16,2.54,0.66,34,2007
34,"Ahmet Gueye, F",HAW,31,30.8,67,93,2.16,2.81,0.72,35,2007
35,"James Hughes, C",NIU,30,26.8,64,63,2.13,3.18,1.02,36,2007
36,"Stuart Creason, C",CSU,30,28.5,64,94,2.13,2.99,0.68,37,2007
37,"Tommy Breaux, F",TOWS,31,24.4,66,99,2.13,3.49,0.67,38,2007
38,"James Gist, F",MD,32,27.7,68,81,2.13,3.07,0.84,39,2007
39,"Randal Falker, F",SIU,33,29.3,70,101,2.12,2.90,0.69,40,2007
40,"Bennet Davis, F",NE,32,34.4,67,74,2.09,2.43,0.91,41,2007
41,"Jean Francois Bro-Grebe, F-C",MRSH,33,19.0,69,100,2.09,4.40,0.69,42,2007
42,"Tyrelle Blair, C",BC,28,16.0,58,63,2.07,5.19,0.92,43,2007
43,"Sammy Sharp, F",TROY,30,29.6,62,80,2.07,2.80,0.78,44,2007
44,"Todd Sowell, F",SPU,27,28.6,55,69,2.04,2.85,0.80,45,2007
45,"Alvarado Parker, F",TCU,30,23.8,61,89,2.03,3.41,0.69,46,2007
46,"Romeo Travis, F",AKR,32,28.3,65,90,2.03,2.88,0.72,47,2007
47,"Randolph Morris, F-C",UK,32,27.4,65,72,2.03,2.97,0.90,48,2007
48,"Cruz Daniels, C",HP,32,13.0,65,82,2.03,6.24,0.79,49,2007
49,"Jermaine Griffin, F",UTA,29,27.5,58,81,2.00,2.91,0.72,50,2007
50,"Ronald Alexander, C",MVSU,33,17.1,65,68,1.97,4.62,0.96,51,2007
51,"Jarvis Varnado, F",MSST,31,13.4,61,70,1.97,5.88,0.87,52,2007
52,"Tim Clifford, C",HC,33,29.0,64,116,1.94,2.68,0.55,53,2007
53,"Kevin Durant, G-F",TEX,33,35.7,64,66,1.94,2.18,0.97,54,2007
54,"Rob Diggs, F",GW,31,25.5,60,83,1.94,3.03,0.72,55,2007
55,"John Fields, F",ECU,25,27.2,48,81,1.92,2.82,0.59,56,2007
56,"Fernando Johnson, F",UCA,24,22.4,46,70,1.92,3.43,0.66,57,2007
57,"Ekpe Udoh, F-C",MICH,33,20.5,63,64,1.91,3.72,0.98,58,2007
58,"Andrew Naeve, F-C",COR,28,30.8,53,75,1.89,2.46,0.71,59,2007
59,"Al Horford, F-C",FLA,32,27.1,60,79,1.88,2.77,0.76,60,2007
60,"Matt Murrer, F",VMI,31,27.7,58,105,1.87,2.70,0.55,61,2007
61,"Brook Lopez, F",STAN,25,24.8,45,68,1.80,2.90,0.66,62,2007
62,"Taj Gibson, F",USC,34,32.4,61,100,1.79,2.21,0.61,63,2007
63,"Donnie Stith, F",TULN,29,21.7,52,46,1.79,3.31,1.13,64,2007
64,"Anthony Tolliver, C",CREI,32,31.6,57,98,1.78,2.26,0.58,65,2007
65,"Joakim Noah, F-C",FLA,34,25.6,60,77,1.76,2.76,0.78,66,2007
66,"Aaron Fleetwood, F",DSU,33,25.7,58,75,1.76,2.73,0.77,67,2007
67,"Herb Courtney, F",DEL,31,36.7,54,87,1.74,1.90,0.62,68,2007
68,"Spencer Hawes, C",WASH,31,28.9,54,70,1.74,2.41,0.77,69,2007
69,"Ian Vouyoukas, F-C",SLU,33,28.5,57,101,1.73,2.43,0.56,70,2007
70,"Brandan Wright, F",UNC,33,27.2,57,46,1.73,2.54,1.24,71,2007
71,"Josh Heytvelt, F",GONZ,25,26.2,43,75,1.72,2.62,0.57,72,2007
72,"Korvotney Barber, F",AUB,32,25.5,55,92,1.72,2.69,0.60,73,2007
73,"Kurt Looby, F-C",IOWA,31,18.5,53,98,1.71,3.69,0.54,74,2007
74,"Gjio Bain, C",USM,31,19.8,53,84,1.71,3.45,0.63,75,2007
75,"Asrangue Souleymane, C",UNO,24,16.8,41,59,1.71,4.07,0.69,76,2007
76,"Charles Rhodes, F-C",MSST,30,26.6,51,77,1.70,2.56,0.66,77,2007
77,"Patrick Sullivan, C",SELA,30,14.7,51,69,1.70,4.64,0.74,78,2007
78,"Hamady Ndiaye, C",RUTG,29,13.3,49,57,1.69,5.06,0.86,79,2007
79,"Deven Dickerson, C",GAST,28,16.8,47,55,1.68,3.99,0.85,80,2007
80,"Aaron Gray, C",PITT,33,28.2,55,83,1.67,2.36,0.66,81,2007
81,"Calvin Brown, C",NORF,30,32.1,50,98,1.67,2.08,0.51,82,2007
82,"Haminn Quaintance, F",KENT,29,21.8,48,68,1.66,3.04,0.71,83,2007
83,"Mark Kelley, F-C",UCI,25,18.1,41,57,1.64,3.62,0.72,84,2007
84,"Drew Naymick, C",MSU,33,21.4,54,94,1.64,3.06,0.57,85,2007
85,"Menelik Barbary, C",SJSU,30,27.5,49,88,1.63,2.37,0.56,86,2007
86,"Darian Townes, F-C",ARK,34,17.7,55,51,1.62,3.65,1.08,87,2007
87,"Grant Stout, F",UNI,31,30.1,50,73,1.61,2.14,0.68,88,2007
88,"Brad Nuckles, F",ETSU,33,30.5,53,87,1.61,2.10,0.61,89,2007
89,"Jeremy Clayton, F",APP,32,27.1,51,78,1.59,2.35,0.65,90,2007
90,"Bradley Strickland, F-C",EVAN,31,28.2,49,93,1.58,2.24,0.53,91,2007
91,"John Bryant, C",SCU,31,23.2,49,91,1.58,2.72,0.54,92,2007
92,"Mamadou Diene, C",BAY,26,19.1,41,80,1.58,3.30,0.51,93,2007
93,"Omari Peterkin, F-C",BU,28,28.3,44,91,1.57,2.22,0.48,94,2007
94,"Jason Smith, F",CSU,30,30.2,47,94,1.57,2.08,0.50,95,2007
95,"David Padgett, C",LOU,31,24.8,48,93,1.55,2.50,0.52,96,2007
96,"Brent Petway, F",MICH,33,23.1,51,83,1.55,2.68,0.61,97,2007
97,"Patrick Sanders, F",UCI,33,30.9,51,87,1.55,2.00,0.59,98,2007
98,"Aliou Keita, C",DRKE,32,14.4,49,60,1.53,4.25,0.82,99,2007
99,"Chris Daniels, C",AMCC,32,25.5,49,95,1.53,2.40,0.52,100,2007
100,"Maurice Sumter, G-F",LONG,31,35.8,47,66,1.52,1.69,0.71,101,2007
101,"Kleon Penn, C",MCNS,32,11.1,48,40,1.50,5.41,1.20,102,2007
102,"Rob Kurz, F",ND,30,28.1,45,80,1.50,2.13,0.56,103,2007
103,"Chad McKenzie, F",LT,30,34.1,45,93,1.50,1.76,0.48,104,2007
104,"Joseph Taylor, F",WYO,28,22.2,42,99,1.50,2.70,0.42,105,2007
105,"Alan Wiggins Jr., F",SF,31,31.1,46,108,1.48,1.91,0.43,106,2007
106,"Louis Graham, F",GASO,31,26.4,46,91,1.48,2.25,0.51,107,2007
107,"Olli Ahvenniemi, F-C",MAINE,29,16.9,43,83,1.48,3.51,0.52,108,2007
108,"Omar Samhan, C",SMC,32,19.3,47,66,1.47,3.04,0.71,109,2007
109,"Ryan Bright, F",SHSU,31,29.3,45,87,1.45,1.98,0.52,110,2007
110,"Alex Barnett, F",DART,27,33.4,39,48,1.44,1.73,0.81,111,2007
111,"Jerome Habel, F",SDSU,27,29.1,39,60,1.44,1.98,0.65,112,2007
112,"James Davis, C",LAM,27,25.6,39,91,1.44,2.25,0.43,113,2007
113,"Julian Wright, F",KU,34,27.4,49,83,1.44,2.10,0.59,114,2007
114,"Darrell Arthur, F",KU,34,19.2,49,90,1.44,3.01,0.54,115,2007
115,"Ivory Clark, F",WSU,32,24.2,46,77,1.44,2.38,0.60,116,2007
116,"Ryvon Covile, C",DET,30,33.0,43,78,1.43,1.74,0.55,117,2007
117,"Robert Dozier, F",MEM,33,25.1,47,95,1.42,2.27,0.49,118,2007
118,"Connor Atchley, F-C",TEX,33,17.7,47,77,1.42,3.21,0.61,119,2007
119,"Wilson Chandler, F",DEP,31,31.6,44,88,1.42,1.80,0.50,120,2007
0,"Jarvis Varnado, F",MSST,32,28.4,148,91,4.63,6.52,1.63,1,2008
1,"Mickell Gladness, F-C",AAMU,29,30.6,131,72,4.52,5.90,1.82,2,2008
2,"Hasheem Thabeet, C",CONN,32,30.8,143,84,4.47,5.80,1.70,3,2008
3,"Kleon Penn, C",MCNS,29,24.6,117,75,4.03,6.55,1.56,4,2008
4,"Emmanuel Adeife, C",UNLV,1,16.0,4,0,4.00,10.00,0.00,5,2008
5,"Shawn James, F-C",DUQ,28,23.8,111,73,3.96,6.68,1.52,6,2008
6,"Jerome Jordan, C",TLSA,33,25.0,121,95,3.67,5.87,1.27,7,2008
7,"Kenny George, C",UNCA,27,19.5,92,32,3.41,7.00,2.88,8,2008
8,"Tyrelle Blair, C",BC,31,22.7,105,83,3.39,5.97,1.27,9,2008
9,"Kyle Hines, F",UNCG,31,32.3,95,86,3.06,3.79,1.10,10,2008
10,"Hamady Ndiaye, C",RUTG,31,22.7,93,94,3.00,5.28,0.99,11,2008
11,"Phillip Brown, C",AFA,1,13.0,3,2,3.00,9.23,1.50,12,2008
12,"Larry Sanders, F",VCU,31,16.6,92,85,2.97,7.16,1.08,13,2008
13,"Ekpe Udoh, F-C",MICH,32,26.0,92,77,2.88,4.42,1.19,14,2008
14,"Daniel Northern, F-C",TNTC,32,30.7,90,78,2.81,3.67,1.15,15,2008
15,"JaVale McGee, F",NEV,32,27.4,90,77,2.81,4.10,1.17,16,2008
16,"Bryant Dunston, F",FOR,29,33.1,79,67,2.72,3.29,1.18,17,2008
17,"Marqus Blakely, F",UVM,29,34.0,79,80,2.72,3.20,0.99,18,2008
18,"Tomas Vazquez-Simmons, F",CAN,31,25.7,84,74,2.71,4.22,1.14,19,2008
19,"Jason Thompson, F",RID,33,34.5,88,97,2.67,3.09,0.91,20,2008
20,"Chris Johnson, C",LSU,25,29.8,66,61,2.64,3.54,1.08,21,2008
21,"Boubacar Coly, F",MORG,32,34.0,83,96,2.59,3.05,0.86,22,2008
22,"Scott VanderMeer, C",UIC,33,28.1,85,75,2.58,3.66,1.13,23,2008
23,"Cruz Daniels, C",HP,29,20.6,74,83,2.55,4.95,0.89,24,2008
24,"Taj Gibson, F",USC,32,32.2,81,110,2.53,3.15,0.74,25,2008
25,"John Bryant, C",SCU,31,27.8,76,93,2.45,3.53,0.82,26,2008
26,"Chidozie Chukwumah, C",CHS,28,21.6,68,76,2.43,4.50,0.89,27,2008
27,"Jeremy Clayton, F",APP,31,29.3,75,87,2.42,3.30,0.86,28,2008
28,"William Byrd, F",ARPB,31,31.8,74,60,2.39,3.01,1.23,29,2008
29,"Cavell Johnson, F",UMBC,30,27.2,70,74,2.33,3.44,0.95,30,2008
30,"Tim Clifford, C",HC,29,32.0,67,100,2.31,2.89,0.67,31,2008
31,"James Gist, F",MD,31,31.8,71,94,2.29,2.88,0.76,32,2008
32,"Roy Hibbert, C",GTWN,32,26.7,73,86,2.28,3.42,0.85,33,2008
33,"Robin Lopez, C",STAN,33,24.3,75,87,2.27,3.75,0.86,34,2008
34,"Larry Cox, C",MVSU,22,26.7,50,68,2.27,3.40,0.74,35,2008
35,"Anthony Randolph, F",LSU,31,32.8,70,85,2.26,2.76,0.82,36,2008
36,"Todd Sowell, F",SPU,30,30.4,67,98,2.23,2.94,0.68,37,2008
37,"Ken Horton, F",CCSU,29,29.2,63,65,2.17,2.97,0.97,38,2008
38,"Brook Lopez, F",STAN,24,31.5,52,60,2.17,2.75,0.87,39,2008
39,"Steven Hill, F-C",ARK,33,16.3,71,82,2.15,5.29,0.87,40,2008
40,"Dane Johnson, F",HOF,30,21.0,64,79,2.13,4.06,0.81,41,2008
41,"Bambale Osby, F",MD,31,26.6,66,92,2.13,3.20,0.72,42,2008
42,"Bamba Fall, C",SMU,30,26.9,63,84,2.10,3.12,0.75,43,2008
43,"Russell Hicks, C",FIU,29,24.4,60,91,2.07,3.39,0.66,44,2008
44,"Alex Woodhouse, F",COLG,31,23.9,64,74,2.06,3.46,0.86,45,2008
45,"Shawn King, C",ORU,32,21.5,65,106,2.03,3.78,0.61,46,2008
46,"Haminn Quaintance, F",KENT,34,26.9,69,90,2.03,3.02,0.77,47,2008
47,"Connor Atchley, F-C",TEX,34,27.5,69,87,2.03,2.95,0.79,48,2008
48,"Malcolm Thomas, F",PEPP,32,30.2,64,79,2.00,2.65,0.81,49,2008
49,"Patrick Sullivan, C",SELA,30,26.1,60,88,2.00,3.07,0.68,50,2008
50,"Richard Hendrix, F",ALA,32,30.6,63,94,1.97,2.57,0.67,51,2008
51,"Amadou Mbodji, F",JVST,29,22.3,57,80,1.97,3.52,0.71,52,2008
52,"Calvin Henry, F",MER,30,32.1,58,51,1.93,2.41,1.14,53,2008
53,"John Fields, F",ECU,29,23.8,56,101,1.93,3.25,0.55,54,2008
54,"Frank Elegar, C",DREX,31,30.0,59,96,1.90,2.54,0.61,55,2008
55,"Isiah Martin, F-C",INST,31,19.2,59,67,1.90,3.97,0.88,56,2008
56,"Durrell Nevels, F",UCA,26,29.8,49,81,1.88,2.53,0.60,57,2008
57,"Trevor Booker, F",CLEM,33,26.8,62,85,1.88,2.80,0.73,58,2008
58,"Joey Dorsey, F",MEM,32,24.4,60,89,1.88,3.08,0.67,59,2008
59,"Kosta Koufos, F-C",OSU,32,27.0,59,65,1.84,2.73,0.91,60,2008
60,"Robert Dozier, F",MEM,31,25.9,57,77,1.84,2.84,0.74,61,2008
61,"Thomas Coleman, F-C",NCAT,31,21.0,57,68,1.84,3.51,0.84,62,2008
62,"Walter Sharpe, F",UAB,12,24.9,22,36,1.83,2.94,0.61,63,2008
63,"Tony Gaffney, C",UMASS,31,20.9,56,82,1.81,3.45,0.68,64,2008
64,"Joe Walker III, C",UVU,15,23.4,27,40,1.80,3.08,0.68,65,2008
65,"Torre Johnson, F",MILW,10,30.2,18,21,1.80,2.38,0.86,66,2008
66,"Diamon Simpson, F",SMC,31,30.6,55,64,1.77,2.32,0.86,67,2008
67,"Dante Milligan, F",UMASS,31,18.1,54,104,1.74,3.86,0.52,68,2008
68,"Aleks Maric, C",NEB,31,28.9,54,78,1.74,2.41,0.69,69,2008
69,"Drew Naymick, C",MSU,33,21.1,57,86,1.73,3.27,0.66,70,2008
70,"Donte Greene, F",SYR,32,35.5,55,93,1.72,1.94,0.59,71,2008
71,"Warren McLendon, F",HART,31,23.1,53,97,1.71,2.96,0.55,72,2008
72,"Michael Beasley, F",KSU,31,31.5,53,79,1.71,2.17,0.67,73,2008
73,"Otis Polk, C",BGSU,30,18.9,51,105,1.70,3.60,0.49,74,2008
74,"Rashaad Singleton, C",UGA,10,13.6,17,10,1.70,5.00,1.70,75,2008
75,"Chris Daniels, C",AMCC,29,27.6,49,88,1.69,2.45,0.56,76,2008
76,"Dan Stonkus, C",NJIT,29,25.4,49,84,1.69,2.66,0.58,77,2008
77,"Omari Isreal, F",L-MD,32,27.6,54,119,1.69,2.45,0.45,78,2008
78,"Louis Graham, F",GASO,32,26.3,54,102,1.69,2.57,0.53,79,2008
79,"Austin Daye, F",GONZ,32,18.4,54,78,1.69,3.67,0.69,80,2008
80,"Gjio Bain, C",USM,28,17.9,47,46,1.68,3.75,1.02,81,2008
81,"Luke Nevill, C",UTAH,31,29.0,52,77,1.68,2.31,0.68,82,2008
82,"Dion Dowell, F",HOU,31,29.5,52,98,1.68,2.27,0.53,83,2008
83,"Scott Morrison, C",PRST,31,23.8,52,51,1.68,2.82,1.02,84,2008
84,"Earl Clark, G-F",LOU,31,28.7,52,52,1.68,2.34,1.00,85,2008
85,"Jordan Hill, F",ARIZ,33,29.3,55,101,1.67,2.27,0.54,86,2008
86,"Junior Hairston, F",TOWS,30,32.0,50,87,1.67,2.08,0.57,87,2008
87,"D.J. White, F",IND,32,33.4,53,80,1.66,1.98,0.66,88,2008
88,"Paul Davis, F",WSSU,29,20.6,48,61,1.66,3.22,0.79,89,2008
89,"Mamadou Diene, C",BAY,25,15.9,41,70,1.64,4.13,0.59,90,2008
90,"Drew Richards, C",MOST,25,19.3,41,75,1.64,3.40,0.55,91,2008
91,"Marcus King-Stockton, F",COLO,30,17.7,49,86,1.63,3.70,0.57,92,2008
92,"John Garcia, F-C",HALL,32,20.1,52,98,1.63,3.24,0.53,93,2008
93,"Joseph Harris, F",CCAR,8,30.3,13,19,1.63,2.15,0.68,94,2008
94,"Wellington Smith, F",WVU,34,20.1,55,97,1.62,3.21,0.57,95,2008
95,"Chas McFarland, C",WAKE,30,21.5,48,90,1.60,2.98,0.53,96,2008
96,"Joseph Jack, F-C",SOU,30,22.2,48,83,1.60,2.88,0.58,97,2008
97,"C.J. Giles, C",ORST,10,18.1,16,40,1.60,3.54,0.40,98,2008
98,"David Gomez, F",TULN,32,28.5,51,88,1.59,2.24,0.58,99,2008
99,"Greg Washington, F",HOF,27,12.2,43,41,1.59,5.21,1.05,100,2008
100,"Jarvis Gunter, F",ARPB,29,26.2,46,81,1.59,2.42,0.57,101,2008
101,"Lavoy Allen, F",TEM,33,29.1,52,104,1.58,2.17,0.50,102,2008
102,"Jason Johnson, F-C",SCST,28,24.1,44,83,1.57,2.60,0.53,103,2008
103,"John Williams, F",UNCA,32,20.6,50,56,1.56,3.03,0.89,104,2008
104,"Jarvis Acker, F",TROY,25,22.1,39,64,1.56,2.83,0.61,105,2008
105,"Stuart Creason, C",CSU,20,25.6,31,59,1.55,2.42,0.53,106,2008
106,"Jeff Ayres, F",ASU,31,28.6,48,94,1.55,2.16,0.51,107,2008
107,"Donte Minter, F",APP,30,25.1,46,79,1.53,2.44,0.58,108,2008
108,"Marreese Speights, F-C",FLA,32,24.0,49,74,1.53,2.55,0.66,109,2008
109,"Larry Vickers, C",NORF,31,26.9,47,114,1.52,2.25,0.41,110,2008
110,"Jaraun Burrows, F",IPFW,31,29.7,47,102,1.52,2.04,0.46,111,2008
