,PLAYER,TEAM,GP,MPG,STL,STPG,STP40M,TO,TOPG,PF,ST/TO,ST/PF,RK,Year
47,"Kevin Reed, G",MAINE,29,32.1,63,2.17,2.71,60,2.07,72,1.05,0.88,48,2005
48,"Brandon Heath, G",SDSU,29,34.4,63,2.17,2.53,104,3.59,53,0.61,1.19,49,2005
49,"Raymond Felton, G",UNC,30,31.5,65,2.17,2.75,111,3.70,55,0.59,1.18,50,2005
50,"Gary Johnson, G",UCF,32,32.8,69,2.16,2.63,87,2.72,60,0.79,1.15,51,2005
51,"Chris Gaynor, G",WIN,32,30.0,69,2.16,2.87,69,2.16,48,1.00,1.44,52,2005
52,"Haminn Quaintance, F",JAC,27,31.9,58,2.15,2.69,106,3.93,67,0.55,0.87,53,2005
53,"Tory Cavalieri, G",SFNY,28,36.3,60,2.14,2.36,91,3.25,43,0.66,1.40,54,2005
54,"Isaac Hines, G",UNT,28,30.9,60,2.14,2.78,50,1.79,36,1.20,1.67,55,2005
55,"Danny Granger, F",UNM,29,29.7,62,2.14,2.88,70,2.41,68,0.89,0.91,56,2005
56,"Fred Peete, G",KSU,29,34.9,62,2.14,2.45,73,2.52,68,0.85,0.91,57,2005
57,"Vernon Hamilton, G",CLEM,31,25.5,66,2.13,3.34,82,2.65,63,0.80,1.05,58,2005
58,"Tyronn Mitchell, G",NWST,33,22.1,70,2.12,3.85,76,2.30,60,0.92,1.17,59,2005
59,"Chris Thomas, G",ND,28,37.4,59,2.11,2.25,80,2.86,46,0.74,1.28,60,2005
60,"Japhet McNeil, G",ECU,28,28.9,59,2.11,2.91,85,3.04,80,0.69,0.74,61,2005
61,"Randy Foye, G",NOVA,29,31.7,61,2.10,2.66,57,1.97,67,1.07,0.91,62,2005
62,"John Goldsberry, G",UNCW,27,35.0,56,2.07,2.37,59,2.19,59,0.95,0.95,63,2005
63,"Brian Fisk, G",LIP,28,34.1,58,2.07,2.43,70,2.50,74,0.83,0.78,64,2005
64,"Quinton Day, G",UMKC,24,38.6,49,2.04,2.12,69,2.88,32,0.71,1.53,65,2005
65,"Walt Chavis, G",CLEV,26,29.2,53,2.04,2.80,61,2.35,66,0.87,0.80,66,2005
66,"Jason Harris, G-F",SAC,27,33.1,55,2.04,2.46,81,3.00,67,0.68,0.82,67,2005
67,"Corey Johnson, G",NAVY,28,33.9,57,2.04,2.40,109,3.89,85,0.52,0.67,68,2005
68,"Michael Ross, G",EMU,30,33.3,61,2.03,2.44,78,2.60,65,0.78,0.94,69,2005
69,"Terry Williams, G",GASO,31,29.5,63,2.03,2.75,98,3.16,95,0.64,0.66,70,2005
70,"Donell Taylor, G",UAB,31,27.8,63,2.03,2.93,75,2.42,85,0.84,0.74,71,2005
71,"Hassan Adams, G",ARIZ,33,29.0,67,2.03,2.80,78,2.36,71,0.86,0.94,72,2005
72,"Ramon Dyer, F",HOU,31,27.9,62,2.00,2.86,31,1.00,93,2.00,0.67,73,2005
73,"Lonnie Randolph, G",DRKE,29,26.0,58,2.00,3.08,79,2.72,40,0.73,1.45,74,2005
74,"Robby Bostain, G-F",FUR,29,28.0,58,2.00,2.86,67,2.31,41,0.87,1.41,75,2005
75,"Alan Daniels, F",LAM,29,33.2,58,2.00,2.41,82,2.83,75,0.71,0.77,76,2005
76,"Kevin Hammack, G",CIT,28,30.6,56,2.00,2.61,107,3.82,63,0.52,0.89,77,2005
77,"Will Blalock, G",ISU,28,36.8,56,2.00,2.17,64,2.29,33,0.88,1.70,78,2005
78,"Matt Coward, G",VMI,27,31.2,54,2.00,2.57,126,4.67,81,0.43,0.67,79,2005
79,"Brandon Worthy, G",LMU,19,27.6,38,2.00,2.90,55,2.89,61,0.69,0.62,80,2005
80,"J.D. Collins, G",WVU,1,16.0,2,2.00,5.00,1,1.00,0,2.00,0.00,81,2005
81,"Maurice Hampton, G",PEAY,32,33.9,63,1.97,2.32,72,2.25,75,0.88,0.84,82,2005
82,"Brent Lawson, G-F",MINN,31,30.9,61,1.97,2.54,51,1.65,75,1.20,0.81,83,2005
83,"James Thues, G",DET,30,29.0,59,1.97,2.71,57,1.90,48,1.04,1.23,84,2005
84,"Corey Belser, F",USD,29,32.1,57,1.97,2.45,44,1.52,91,1.30,0.63,85,2005
85,"Abe Badmus, G",BUCK,29,25.7,57,1.97,3.06,61,2.10,76,0.93,0.75,86,2005
86,"Andre Heard, G",BING,29,35.6,57,1.97,2.21,65,2.24,72,0.88,0.79,87,2005
87,"E.J. Gordon, G-F",STET,27,32.2,53,1.96,2.44,86,3.19,62,0.62,0.85,88,2005
88,"Jermaine Anderson, G",UNH,27,32.2,53,1.96,2.44,60,2.22,45,0.88,1.18,89,2005
89,"Bruce Price, G",TNST,31,33.0,60,1.94,2.35,118,3.81,97,0.51,0.62,90,2005
90,"Gabe Pruitt, G",USC,29,30.0,56,1.93,2.57,74,2.55,71,0.76,0.79,91,2005
91,"Greg Taylor, G",WOF,28,23.4,54,1.93,3.30,45,1.61,58,1.20,0.93,92,2005
92,"Eulis Baez, F",WIU,28,33.5,54,1.93,2.30,98,3.50,88,0.55,0.61,93,2005
93,"Chris McCray, G",MD,27,30.5,52,1.93,2.53,56,2.07,65,0.93,0.80,94,2005
94,"Trey Pearson, G",MURR,27,32.3,52,1.93,2.39,48,1.78,49,1.08,1.06,95,2005
95,"Francisco Garcia, F",LOU,33,31.2,63,1.91,2.44,91,2.76,100,0.69,0.63,96,2005
96,"Vincent Grier, G-F",MINN,31,35.9,59,1.90,2.12,81,2.61,59,0.73,1.00,97,2005
97,"Michael Williams II, F-C",COOK,30,26.8,57,1.90,2.84,71,2.37,100,0.80,0.57,98,2005
98,"Rodney Billups, G",DEN,30,34.8,57,1.90,2.19,102,3.40,68,0.56,0.84,99,2005
99,"Chrismen Oliver, G",UCSB,29,31.3,55,1.90,2.43,69,2.38,33,0.80,1.67,100,2005
100,"Tyler Azzarelli, G",MONM,29,30.9,55,1.90,2.45,51,1.76,82,1.08,0.67,101,2005
101,"Carlos Dixon, G-F",VT,28,30.9,53,1.89,2.45,62,2.21,74,0.85,0.72,102,2005
102,"Will Venable, G",PRIN,28,36.4,53,1.89,2.08,69,2.46,58,0.77,0.91,103,2005
103,"Shaun Wynn, G",BU,28,30.0,53,1.89,2.52,42,1.50,54,1.26,0.98,104,2005
104,"Luke Ruscoe, G",BRWN,28,31.6,53,1.89,2.40,59,2.11,45,0.90,1.18,105,2005
105,"Dontaye Draper, G",COFC,28,25.5,53,1.89,2.97,61,2.18,72,0.87,0.74,106,2005
106,"C.J. Watson, G",TENN,31,34.9,58,1.87,2.14,96,3.10,71,0.60,0.82,107,2005
107,"Rawle Marshall, G",OAK,30,36.0,56,1.87,2.07,93,3.10,70,0.60,0.80,108,2005
108,"Devin Green, G",HAMP,30,32.5,56,1.87,2.30,83,2.77,74,0.67,0.76,109,2005
109,"Jarrett Jack, G",GT,30,34.2,56,1.87,2.19,105,3.50,52,0.53,1.08,110,2005
110,"Willie Jenkins, F-C",TNTC,29,33.2,54,1.86,2.24,117,4.03,69,0.46,0.78,111,2005
111,"Darrel Mitchell, G",LSU,29,35.2,54,1.86,2.12,62,2.14,79,0.87,0.68,112,2005
112,"Torey Thomas, G",HC,29,25.2,54,1.86,2.95,52,1.79,45,1.04,1.20,113,2005
113,"Daevon Haskins, G",LT,29,36.6,54,1.86,2.04,89,3.07,67,0.61,0.81,114,2005
114,"Anthony Anderson, G",UMASS,20,35.8,37,1.85,2.07,36,1.80,36,1.03,1.03,115,2005
115,"Solomon Forbes, G-F",MVSU,13,26.5,24,1.85,2.79,25,1.92,21,0.96,1.14,116,2005
116,"Nate Lofton, C",SELA,32,29.1,59,1.84,2.53,90,2.81,101,0.66,0.58,117,2005
117,"Daniel Ewing, G",DUKE,30,34.0,55,1.83,2.15,87,2.90,93,0.63,0.59,118,2005
118,"Chuck Hayes, F",UK,30,29.2,55,1.83,2.51,51,1.70,64,1.08,0.86,119,2005
119,"Dandrick Jones, G",IDHO,30,32.6,55,1.83,2.25,58,1.93,57,0.95,0.96,120,2005
0,"Bo McCalebb, G",UNO,4,33.3,15,3.75,4.51,10,2.50,10,1.50,1.50,1,2006
1,"Tim Smith, G",ETSU,28,37.7,95,3.39,3.60,137,4.89,45,0.69,2.11,2,2006
2,"Ibrahim Jaaber, G",PENN,28,36.7,95,3.39,3.70,47,1.68,65,2.02,1.46,3,2006
3,"Obie Trotter, G",AAMU,26,34.0,87,3.35,3.93,89,3.42,71,0.98,1.23,4,2006
4,"Kevin Hamilton, G",HC,31,36.1,102,3.29,3.64,118,3.81,82,0.86,1.24,5,2006
5,"Oliver Lafayette, G",HOU,29,32.6,93,3.21,3.93,60,2.07,72,1.55,1.29,6,2006
6,"Bobby Dixon, G",TROY,29,34.6,88,3.03,3.51,95,3.28,53,0.93,1.66,7,2006
7,"Bryan Mullins, G",SIU,32,31.2,91,2.84,3.65,78,2.44,77,1.17,1.18,8,2006
8,"Quinton Day, G",UMKC,27,38.4,76,2.81,2.93,108,4.00,46,0.70,1.65,9,2006
9,"Dwight Boatner, G",MCNS,20,31.5,56,2.80,3.56,42,2.10,34,1.33,1.65,10,2006
10,"Mardy Collins, G",TEM,31,37.6,86,2.77,2.95,63,2.03,67,1.37,1.28,11,2006
11,"Ricky Hickman, G",UNCG,28,35.2,77,2.75,3.13,91,3.25,78,0.85,0.99,12,2006
12,"DaShawn Freeman, G",SAC,30,31.9,82,2.73,3.43,91,3.03,97,0.90,0.85,13,2006
13,"Vernon Hamilton, G",CLEM,29,30.4,79,2.72,3.58,80,2.76,62,0.99,1.27,14,2006
14,"D.J. Thompson, G",APP,30,34.6,81,2.70,3.12,89,2.97,64,0.91,1.27,15,2006
15,"Hassan Adams, G",ARIZ,29,33.5,78,2.69,3.21,68,2.34,54,1.15,1.44,16,2006
16,"Mario Chalmers, G",KU,32,25.8,86,2.69,4.17,88,2.75,70,0.98,1.23,17,2006
17,"Ricky Soliver, G",IONA,30,34.8,80,2.67,3.06,80,2.67,73,1.00,1.10,18,2006
18,"Carldell 'Squeaky' Johnson, G",UAB,30,31.2,80,2.67,3.42,59,1.97,69,1.36,1.16,19,2006
19,"David Johnson, G",SEMO,3,23.0,8,2.67,4.64,6,2.00,2,1.33,4.00,20,2006
20,"Louis Ford, G",HOW,27,32.2,71,2.63,3.26,79,2.93,56,0.90,1.27,21,2006
21,"Dereke Tipler, G",ARST,29,32.6,76,2.62,3.21,89,3.07,64,0.85,1.19,22,2006
22,"Ronnie Brewer, G",ARK,31,34.6,81,2.61,3.02,68,2.19,43,1.19,1.88,23,2006
23,"Courtney Lee, G",WKU,30,31.1,77,2.57,3.30,82,2.73,71,0.94,1.08,24,2006
24,"Kojo Mensah, G",SIE,28,35.1,71,2.54,2.89,102,3.64,62,0.70,1.15,25,2006
25,"Keydren (Keekee) Clark, G",SPU,32,38.8,80,2.50,2.57,102,3.19,60,0.78,1.33,26,2006
26,"Danilo Pinnock, G",GW,28,31.9,69,2.46,3.09,56,2.00,52,1.23,1.33,27,2006
27,"Tony Tate, G",FAMU,30,34.1,73,2.43,2.85,106,3.53,67,0.69,1.09,28,2006
28,"Curtis Stinson, G",ISU,30,35.6,73,2.43,2.73,103,3.43,87,0.71,0.84,29,2006
29,"Torey Thomas, G",HC,32,36.4,77,2.41,2.64,86,2.69,84,0.90,0.92,30,2006
30,"Andre Collins, G",L-MD,28,38.1,67,2.39,2.51,104,3.71,65,0.64,1.03,31,2006
31,"Bryan Hopkins, G",SMU,22,34.1,52,2.36,2.77,72,3.27,54,0.72,0.96,32,2006
32,"Zack Wright, G",UALR,28,33.0,66,2.36,2.86,106,3.79,72,0.62,0.92,33,2006
33,"Mark Tyndale, G",TEM,31,36.2,73,2.35,2.60,68,2.19,60,1.07,1.22,34,2006
34,"Kyle Lowry, G",NOVA,29,29.1,68,2.34,3.22,65,2.24,82,1.05,0.83,35,2006
35,"Zabian Dowdell, G",VT,30,36.0,70,2.33,2.59,70,2.33,65,1.00,1.08,36,2006
36,"Je'Kel Foster, G",OSU,30,33.8,70,2.33,2.76,60,2.00,64,1.17,1.09,37,2006
37,"Alan Daniels, F",LAM,31,35.1,72,2.32,2.64,76,2.45,76,0.95,0.95,38,2006
38,"Jacob Burtschi, F",AFA,30,33.1,69,2.30,2.78,49,1.63,80,1.41,0.86,39,2006
39,"Larry Sheppard, G",TRGV,31,33.4,71,2.29,2.75,105,3.39,94,0.68,0.76,40,2006
40,"Brion Rush, G",GRAM,21,34.8,48,2.29,2.63,73,3.48,50,0.66,0.96,41,2006
41,"Drew Gibson, G",WOF,29,30.7,66,2.28,2.97,77,2.66,67,0.86,0.99,42,2006
42,"Zaire Taylor, G",DEL,30,29.7,68,2.27,3.06,72,2.40,98,0.94,0.69,43,2006
43,"Chris Rodgers, G",ARIZ,23,28.0,52,2.26,3.23,30,1.30,42,1.73,1.24,44,2006
44,"Josh Dotzler, G",CREI,23,32.7,52,2.26,2.76,59,2.57,48,0.88,1.08,45,2006
45,"Marcus Clark, G",SFA,27,33.7,61,2.26,2.68,62,2.30,67,0.98,0.91,46,2006
46,"Tyronn Mitchell, G",NWST,32,26.5,71,2.22,3.35,85,2.66,71,0.84,1.00,47,2006
47,"Russell Robinson, G",KU,32,28.2,71,2.22,3.15,68,2.13,68,1.04,1.04,48,2006
48,"Vincent Grier, G-F",MINN,23,36.7,51,2.22,2.41,72,3.13,56,0.71,0.91,49,2006
49,"Dontaye Draper, G",COFC,28,35.2,62,2.21,2.52,97,3.46,73,0.64,0.85,50,2006
50,"Jeff Xavier, G",MAN,28,34.7,62,2.21,2.55,68,2.43,72,0.91,0.86,51,2006
51,"Akeem Scott, G",HP,29,30.6,64,2.21,2.88,70,2.41,99,0.91,0.65,52,2006
52,"Charles Lee, G-F",BUCK,30,32.6,66,2.20,2.70,84,2.80,54,0.79,1.22,53,2006
53,"Rodney Stuckey, G",EWU,30,33.0,66,2.20,2.67,107,3.57,75,0.62,0.88,54,2006
54,"Gabe Pruitt, G",USC,25,34.4,55,2.20,2.56,67,2.68,53,0.82,1.04,55,2006
55,"Chris McCray, G",MD,16,30.7,35,2.19,2.85,40,2.50,33,0.88,1.06,56,2006
56,"Will Blalock, G",ISU,30,35.7,65,2.17,2.43,89,2.97,55,0.73,1.18,57,2006
57,"Andrew Washington, G",DEL,13,28.7,28,2.15,3.00,29,2.23,38,0.97,0.74,58,2006
58,"Oliver Holmes, G-F",UNCA,28,34.0,60,2.14,2.52,95,3.39,66,0.63,0.91,59,2006
59,"Alex Bausley, F",SAC,30,28.6,64,2.13,2.98,58,1.93,97,1.10,0.66,60,2006
60,"Jerel McNeal, G",MARQ,30,27.6,64,2.13,3.10,114,3.80,73,0.56,0.88,61,2006
61,"Rajon Rondo, G",UK,32,30.9,68,2.13,2.75,76,2.38,64,0.89,1.06,62,2006
62,"Tavio Hobson, G",SHU,27,35.7,57,2.11,2.37,80,2.96,86,0.71,0.66,63,2006
63,"Jeremy Kelly, G",UTM,28,33.8,59,2.11,2.50,100,3.57,95,0.59,0.62,64,2006
64,"Richard Roby, G",COLO,29,30.3,61,2.10,2.78,62,2.14,52,0.98,1.17,65,2006
65,"Jamon Gordon, G",VT,30,34.9,63,2.10,2.41,66,2.20,88,0.95,0.72,66,2006
66,"Wink Adams, G",UNLV,30,28.3,63,2.10,2.96,77,2.57,56,0.82,1.13,67,2006
67,"John Goldsberry, G",UNCW,32,33.9,67,2.09,2.47,73,2.28,64,0.92,1.05,68,2006
68,"C.J. Watson, G",TENN,28,32.0,58,2.07,2.59,59,2.11,69,0.98,0.84,69,2006
69,"Tony Hooper, G",ULM,28,29.1,58,2.07,2.84,124,4.43,81,0.47,0.72,70,2006
70,"Quinton Hosley, G-F",FRES,28,35.1,58,2.07,2.36,69,2.46,74,0.84,0.78,71,2006
71,"Andre Morgan, G",KENN,29,30.8,60,2.07,2.68,71,2.45,86,0.85,0.70,72,2006
72,"Mark Walters, G",UNM,30,32.5,62,2.07,2.55,78,2.60,86,0.79,0.72,73,2006
73,"Abe Badmus, G",BUCK,30,28.7,62,2.07,2.88,77,2.57,85,0.81,0.73,74,2006
74,"Mario West, G",GT,22,22.1,45,2.05,3.70,39,1.77,55,1.15,0.82,75,2006
75,"Ricky Woods, F",SELA,28,33.5,57,2.04,2.43,82,2.93,84,0.70,0.68,76,2006
76,"Chris Lofton, G",TENN,28,31.9,57,2.04,2.56,33,1.18,51,1.73,1.12,77,2006
77,"Dwayne Mitchell, G",ULL,29,35.4,59,2.03,2.30,128,4.41,70,0.46,0.84,78,2006
78,"Elton Nesbitt, G",GASO,29,31.9,59,2.03,2.55,64,2.21,80,0.92,0.74,79,2006
79,"Brian Latham, G",HOU,29,30.9,59,2.03,2.63,68,2.34,82,0.87,0.72,80,2006
80,"E.J. Gordon, G-F",STET,30,30.4,61,2.03,2.67,99,3.30,78,0.62,0.78,81,2006
81,"Larry Blair, G",LIB,30,36.7,61,2.03,2.22,79,2.63,57,0.77,1.07,82,2006
82,"Tony Bennett, G",BRAD,30,30.4,61,2.03,2.67,57,1.90,82,1.07,0.74,83,2006
83,"Brian Snider, G",WMU,31,33.3,63,2.03,2.44,98,3.16,76,0.64,0.83,84,2006
84,"Devan Downey, G",CIN,31,30.4,63,2.03,2.68,67,2.16,67,0.94,0.94,85,2006
85,"Byron Eaton, G",OKST,32,23.6,65,2.03,3.44,114,3.56,91,0.57,0.71,86,2006
86,"Anthony Register, G",STET,32,33.5,64,2.00,2.39,75,2.34,57,0.85,1.12,87,2006
87,"Darrel Mitchell, G",LSU,31,36.4,62,2.00,2.20,87,2.81,73,0.71,0.85,88,2006
88,"Sundiata Gaines, G",UGA,30,28.4,60,2.00,2.82,74,2.47,51,0.81,1.18,89,2006
89,"Johnny Mathies, G",CREI,28,32.6,56,2.00,2.46,78,2.79,74,0.72,0.76,90,2006
90,"Timothy Mathis, G",MORG,9,26.1,18,2.00,3.06,37,4.11,23,0.49,0.78,91,2006
91,"Bruce Price, G",TNST,6,36.5,12,2.00,2.19,26,4.33,20,0.46,0.60,92,2006
92,"Al Stewart, G",DRKE,31,28.7,61,1.97,2.74,96,3.10,58,0.64,1.05,93,2006
93,"Jarrett Howell, G",UTA,30,32.9,59,1.97,2.39,75,2.50,84,0.79,0.70,94,2006
94,"Al'Davon Thomas, G",NORF,30,23.0,59,1.97,3.42,90,3.00,78,0.66,0.76,95,2006
95,"Carl Elliott, G",GW,28,31.7,55,1.96,2.48,66,2.36,56,0.83,0.98,96,2006
96,"Mike Robinson, G",EIU,27,31.3,53,1.96,2.51,99,3.67,67,0.54,0.79,97,2006
97,"Tyler Azzarelli, G",MONM,23,29.3,45,1.96,2.67,38,1.65,60,1.18,0.75,98,2006
98,"Jeremy Fears, G",OHIO,19,26.8,37,1.95,2.91,62,3.26,31,0.60,1.19,99,2006
99,"Charlie White, G",JKST,32,22.5,62,1.94,3.45,84,2.63,85,0.74,0.73,100,2006
100,"Mike Gansey, F",WVU,30,34.1,58,1.93,2.27,38,1.27,32,1.53,1.81,101,2006
101,"Michael Williams II, F-C",COOK,30,31.8,58,1.93,2.43,71,2.37,103,0.82,0.56,102,2006
102,"Sonny Troutman, G",OHIO,30,27.5,58,1.93,2.81,69,2.30,70,0.84,0.83,103,2006
103,"Andre Heard, G",BING,29,35.9,56,1.93,2.15,60,2.07,88,0.93,0.64,104,2006
104,"Chris Ross, G",MRSH,28,29.9,54,1.93,2.58,96,3.43,63,0.56,0.86,105,2006
105,"Jeremy Wiley, G",PV,28,31.1,54,1.93,2.48,124,4.43,73,0.44,0.74,106,2006
106,"Gerry McNamara, G",SYR,34,35.6,65,1.91,2.15,114,3.35,45,0.57,1.44,107,2006
107,"Royce Parran, G",CHS,30,34.7,57,1.90,2.19,83,2.77,77,0.69,0.74,108,2006
108,"Edgar Moreno, G",UTEP,29,32.4,55,1.90,2.34,74,2.55,55,0.74,1.00,109,2006
109,"Brody Angley, G",SCU,29,34.0,55,1.90,2.23,73,2.52,70,0.75,0.79,110,2006
110,"James Parlow, G",UNO,29,29.7,55,1.90,2.56,47,1.62,76,1.17,0.72,111,2006
111,"Brent Ragsdale, F",KENN,29,33.9,55,1.90,2.24,45,1.55,64,1.22,0.86,112,2006
112,"Tony Lee, G",RMU,28,32.8,53,1.89,2.31,94,3.36,80,0.56,0.66,113,2006
113,"Matt Stehle, F",HARV,27,34.3,51,1.89,2.20,89,3.30,91,0.57,0.56,114,2006
114,"Keenan Jeppesen, G",BRWN,27,30.7,51,1.89,2.46,85,3.15,46,0.60,1.11,115,2006
115,"Paul Millsap, F",LT,32,34.2,60,1.88,2.19,82,2.56,97,0.73,0.62,116,2006
116,"Mike Mitchell, G",NMSU,24,35.0,45,1.88,2.15,58,2.42,69,0.78,0.65,117,2006
117,"Justin Ingram, G",TOL,31,31.6,58,1.87,2.36,66,2.13,60,0.88,0.97,118,2006
118,"Maurice Sumter, G-F",LONG,29,33.6,54,1.86,2.22,73,2.52,58,0.74,0.93,119,2006
119,"Jeremy Chappell, G",RMU,29,36.1,54,1.86,2.06,45,1.55,79,1.20,0.68,120,2006
0,"Travis Holmes, G",VMI,33,24.4,111,3.36,5.51,74,2.24,85,1.50,1.31,1,2007
1,"Paul Gause, G",HALL,29,25.4,90,3.10,4.89,34,1.17,90,2.65,1.00,2,2007
2,"Ledell Eackles, G",CAMP,31,29.2,94,3.03,4.15,82,2.65,65,1.15,1.45,3,2007
3,"Ibrahim Jaaber, G",PENN,30,36.8,90,3.00,3.26,88,2.93,65,1.02,1.38,4,2007
4,"Chavis Holmes, G",VMI,32,25.2,90,2.81,4.47,81,2.53,95,1.11,0.95,5,2007
5,"Torey Thomas, G",HC,33,37.5,92,2.79,2.97,128,3.88,89,0.72,1.03,6,2007
6,"Tony Lee, G",RMU,28,33.8,77,2.75,3.25,96,3.43,69,0.80,1.12,7,2007
7,"Derek Johnson, G",PV,30,30.8,82,2.73,3.55,101,3.37,75,0.81,1.09,8,2007
8,"Jamon Gordon, G",VT,32,31.4,86,2.69,3.43,73,2.28,95,1.18,0.91,9,2007
9,"Carl Elliott, G",GW,31,34.7,82,2.65,3.05,107,3.45,74,0.77,1.11,10,2007
10,"Jerel McNeal, G",MARQ,29,30.2,76,2.62,3.47,118,4.07,102,0.64,0.75,11,2007
11,"Sonny Troutman, G",OHIO,32,31.5,82,2.56,3.25,116,3.63,70,0.71,1.17,12,2007
12,"Courtney Pigram, G",ETSU,33,33.4,84,2.55,3.05,107,3.24,64,0.79,1.31,13,2007
13,"D.J. Thompson, G",APP,32,32.6,81,2.53,3.11,94,2.94,65,0.86,1.25,14,2007
14,"Alex Bausley, F",SAC,29,29.9,72,2.48,3.32,55,1.90,83,1.31,0.87,15,2007
15,"Antonio Kellogg, G",SF,28,32.9,69,2.46,2.99,121,4.32,79,0.57,0.87,16,2007
16,"Rodney Stuckey, G",EWU,29,33.3,71,2.45,2.94,98,3.38,68,0.72,1.04,17,2007
17,"Mike Gordon, G",BING,29,36.4,71,2.45,2.69,49,1.69,74,1.45,0.96,18,2007
18,"Mario Chalmers, G",KU,34,29.2,83,2.44,3.34,75,2.21,86,1.11,0.97,19,2007
19,"Stefhon Hannah, G",MIZ,30,30.4,72,2.40,3.16,98,3.27,90,0.73,0.80,20,2007
20,"Oliver Lafayette, G",HOU,33,35.8,78,2.36,2.64,66,2.00,101,1.18,0.77,21,2007
21,"Keith Simmons, G",HC,33,35.5,75,2.27,2.56,61,1.85,75,1.23,1.00,22,2007
22,"Mike Conley, G",OSU,33,30.7,75,2.27,2.96,71,2.15,49,1.06,1.53,23,2007
23,"Damitrius Coleman, G",COOK,26,25.2,59,2.27,3.60,63,2.42,70,0.94,0.84,24,2007
24,"Darren Collison, G",UCLA,30,32.7,68,2.27,2.78,88,2.93,42,0.77,1.62,25,2007
25,"Alex Ruoff, G",WVU,31,32.8,70,2.26,2.75,63,2.03,70,1.11,1.00,26,2007
26,"Drew Williamson, G",ODU,32,31.1,72,2.25,2.89,53,1.66,74,1.36,0.97,27,2007
27,"Drew Gibson, G",WOF,25,33.3,56,2.24,2.69,75,3.00,63,0.75,0.89,28,2007
28,"Royce Parran, G",CHS,29,34.1,64,2.21,2.59,89,3.07,88,0.72,0.73,29,2007
29,"Sundiata Gaines, G",UGA,30,30.5,66,2.20,2.89,77,2.57,57,0.86,1.16,30,2007
30,"Bashir Mason, G",DREX,32,33.1,70,2.19,2.64,85,2.66,69,0.82,1.01,31,2007
31,"Julian Mascoll, F",EKY,32,34.3,70,2.19,2.55,129,4.03,43,0.54,1.63,32,2007
32,"Mike Robinson, G",EIU,30,33.2,65,2.17,2.61,74,2.47,79,0.88,0.82,33,2007
33,"Justin Ingram, G",TOL,31,35.2,67,2.16,2.46,72,2.32,68,0.93,0.99,34,2007
34,"Maurice Sumter, G-F",LONG,31,35.8,67,2.16,2.41,77,2.48,66,0.87,1.02,35,2007
35,"Zabian Dowdell, G",VT,32,33.6,69,2.16,2.57,61,1.91,50,1.13,1.38,36,2007
36,"Kyle Weaver, G",WSU,32,33.5,69,2.16,2.57,83,2.59,67,0.83,1.03,37,2007
37,"JaJuan Smith, G",TENN,32,29.0,69,2.16,2.97,61,1.91,80,1.13,0.86,38,2007
38,"Damian Martin, G",LMU,31,29.9,65,2.10,2.80,66,2.13,78,0.98,0.83,39,2007
39,"Derek Wright, G",PEAY,32,30.6,67,2.09,2.74,63,1.97,60,1.06,1.12,40,2007
40,"Marcus Becker, G",BRWN,29,36.0,60,2.07,2.30,59,2.03,66,1.02,0.91,41,2007
41,"Kurt Attaway, G",UTSA,29,32.6,60,2.07,2.54,76,2.62,92,0.79,0.65,42,2007
42,"D.J. Strawberry, G",MD,32,31.5,66,2.06,2.62,67,2.09,80,0.99,0.83,43,2007
43,"Brandon Johnson, G",ODU,32,28.1,66,2.06,2.94,74,2.31,80,0.89,0.83,44,2007
44,"Chris Kramer, G",PUR,28,27.3,57,2.04,2.99,49,1.75,48,1.16,1.19,45,2007
45,"Roderick Adams, G",SAC,29,21.3,59,2.03,3.82,59,2.03,80,1.00,0.74,46,2007
46,"Cory Lewis, G",CSU,30,32.0,61,2.03,2.54,89,2.97,84,0.69,0.73,47,2007
47,"James Mays, F",CLEM,31,27.9,63,2.03,2.92,88,2.84,70,0.72,0.90,48,2007
48,"Javaris Crittenton, G",GT,31,31.4,63,2.03,2.59,120,3.87,66,0.53,0.95,49,2007
49,"Dane Bradshaw, G",TENN,32,27.7,64,2.00,2.89,56,1.75,75,1.14,0.85,50,2007
50,"Drew Shubik, G",SHU,32,30.4,64,2.00,2.63,70,2.19,74,0.91,0.86,51,2007
51,"Tywain McKee, G",COPP,32,34.0,64,2.00,2.36,100,3.13,83,0.64,0.77,52,2007
52,"Marvin Lea, G",PEPP,31,30.5,62,2.00,2.62,87,2.81,65,0.71,0.95,53,2007
53,"Bo McCalebb, G",UNO,31,34.5,62,2.00,2.32,88,2.84,86,0.70,0.72,54,2007
54,"Richie Williams, G",SDSU,31,34.0,62,2.00,2.35,95,3.06,89,0.65,0.70,55,2007
55,"Amir Johnson, G",RAD,30,32.7,59,1.97,2.41,101,3.37,78,0.58,0.76,56,2007
56,"Jesse Kimbrough, G",JAC,29,33.3,57,1.97,2.36,72,2.48,75,0.79,0.76,57,2007
57,"Roy Peake, G",WSSU,29,31.2,57,1.97,2.52,66,2.28,83,0.86,0.69,58,2007
58,"Nick Grant, G",DRKE,32,27.9,62,1.94,2.77,78,2.44,92,0.79,0.67,59,2007
59,"Brandon Johnson, G",USD,32,30.9,62,1.94,2.51,108,3.38,80,0.57,0.78,60,2007
60,"Bryan Smithson, G",UNCA,31,31.0,60,1.94,2.50,92,2.97,53,0.65,1.13,61,2007
